frame,vehicle_type
frame_1020.jpg,traffic light
frame_1020.jpg,car
frame_1020.jpg,car
frame_1020.jpg,car
frame_1020.jpg,truck
frame_1020.jpg,car
frame_1020.jpg,car
frame_1020.jpg,traffic light
frame_1020.jpg,car
frame_1020.jpg,car
frame_1020.jpg,car
frame_1050.jpg,car
frame_1050.jpg,car
frame_1050.jpg,car
frame_1050.jpg,car
frame_1050.jpg,car
frame_1050.jpg,person
frame_1050.jpg,car
frame_1050.jpg,car
frame_1050.jpg,traffic light
frame_1050.jpg,backpack
frame_1080.jpg,car
frame_1080.jpg,car
frame_1080.jpg,traffic light
frame_1080.jpg,car
frame_1080.jpg,truck
frame_1080.jpg,car
frame_1080.jpg,car
frame_1080.jpg,car
frame_1080.jpg,car
frame_1080.jpg,car
frame_1080.jpg,traffic light
frame_1080.jpg,car
frame_1080.jpg,car
frame_1080.jpg,person
frame_1110.jpg,person
frame_1110.jpg,traffic light
frame_1110.jpg,traffic light
frame_1110.jpg,car
frame_1110.jpg,car
frame_1110.jpg,car
frame_1110.jpg,truck
frame_1110.jpg,person
frame_1110.jpg,car
frame_1110.jpg,car
frame_1110.jpg,traffic light
frame_1110.jpg,traffic light
frame_1110.jpg,person
frame_1110.jpg,car
frame_1110.jpg,car
frame_1140.jpg,traffic light
frame_1140.jpg,traffic light
frame_1140.jpg,traffic light
frame_1140.jpg,car
frame_1140.jpg,person
frame_1140.jpg,car
frame_1140.jpg,car
frame_1140.jpg,car
frame_1140.jpg,car
frame_1140.jpg,car
frame_1140.jpg,person
frame_1140.jpg,truck
frame_1140.jpg,car
frame_1170.jpg,traffic light
frame_1170.jpg,car
frame_1170.jpg,person
frame_1170.jpg,car
frame_1170.jpg,car
frame_1170.jpg,car
frame_1170.jpg,person
frame_1170.jpg,car
frame_1170.jpg,car
frame_1170.jpg,traffic light
frame_1170.jpg,motorcycle
frame_1170.jpg,person
frame_1170.jpg,car
frame_1170.jpg,car
frame_1170.jpg,truck
frame_1170.jpg,car
frame_120.jpg,car
frame_120.jpg,person
frame_120.jpg,person
frame_120.jpg,traffic light
frame_120.jpg,traffic light
frame_120.jpg,person
frame_120.jpg,car
frame_120.jpg,car
frame_120.jpg,person
frame_120.jpg,car
frame_120.jpg,suitcase
frame_1200.jpg,traffic light
frame_1200.jpg,truck
frame_1200.jpg,traffic light
frame_1200.jpg,person
frame_1200.jpg,traffic light
frame_1200.jpg,car
frame_1200.jpg,car
frame_1200.jpg,car
frame_1200.jpg,car
frame_1200.jpg,car
frame_1200.jpg,car
frame_1200.jpg,car
frame_1200.jpg,motorcycle
frame_1200.jpg,car
frame_1200.jpg,person
frame_1230.jpg,person
frame_1230.jpg,person
frame_1230.jpg,car
frame_1230.jpg,car
frame_1230.jpg,person
frame_1230.jpg,traffic light
frame_1230.jpg,car
frame_1230.jpg,car
frame_1230.jpg,car
frame_1230.jpg,traffic light
frame_1230.jpg,car
frame_1230.jpg,car
frame_1230.jpg,motorcycle
frame_1230.jpg,person
frame_1260.jpg,car
frame_1260.jpg,person
frame_1260.jpg,car
frame_1260.jpg,person
frame_1260.jpg,truck
frame_1260.jpg,car
frame_1260.jpg,car
frame_1260.jpg,car
frame_1260.jpg,traffic light
frame_1260.jpg,person
frame_1260.jpg,car
frame_1260.jpg,person
frame_1260.jpg,car
frame_1260.jpg,motorcycle
frame_1290.jpg,car
frame_1290.jpg,car
frame_1290.jpg,person
frame_1290.jpg,car
frame_1290.jpg,person
frame_1290.jpg,car
frame_1290.jpg,traffic light
frame_1290.jpg,motorcycle
frame_1290.jpg,car
frame_1290.jpg,truck
frame_1290.jpg,traffic light
frame_1290.jpg,car
frame_1290.jpg,car
frame_1290.jpg,car
frame_1320.jpg,car
frame_1320.jpg,car
frame_1320.jpg,person
frame_1320.jpg,car
frame_1320.jpg,car
frame_1320.jpg,car
frame_1320.jpg,person
frame_1320.jpg,car
frame_1320.jpg,car
frame_1320.jpg,motorcycle
frame_1320.jpg,truck
frame_1320.jpg,person
frame_1320.jpg,car
frame_1350.jpg,car
frame_1350.jpg,car
frame_1350.jpg,person
frame_1350.jpg,car
frame_1350.jpg,car
frame_1350.jpg,car
frame_1350.jpg,truck
frame_1350.jpg,motorcycle
frame_1380.jpg,person
frame_1380.jpg,car
frame_1380.jpg,car
frame_1380.jpg,car
frame_1380.jpg,car
frame_1380.jpg,truck
frame_1380.jpg,car
frame_1380.jpg,truck
frame_1380.jpg,car
frame_1380.jpg,car
frame_1410.jpg,traffic light
frame_1410.jpg,car
frame_1410.jpg,person
frame_1410.jpg,truck
frame_1410.jpg,truck
frame_1410.jpg,car
frame_1410.jpg,car
frame_1410.jpg,motorcycle
frame_1410.jpg,person
frame_1410.jpg,car
frame_1410.jpg,car
frame_1410.jpg,car
frame_1410.jpg,traffic light
frame_1410.jpg,car
frame_1410.jpg,car
frame_1440.jpg,traffic light
frame_1440.jpg,person
frame_1440.jpg,person
frame_1440.jpg,car
frame_1440.jpg,car
frame_1440.jpg,car
frame_1440.jpg,car
frame_1440.jpg,car
frame_1440.jpg,car
frame_1440.jpg,truck
frame_1440.jpg,motorcycle
frame_1440.jpg,person
frame_1440.jpg,car
frame_1440.jpg,car
frame_1440.jpg,car
frame_1470.jpg,car
frame_1470.jpg,car
frame_1470.jpg,person
frame_1470.jpg,motorcycle
frame_1470.jpg,traffic light
frame_1470.jpg,car
frame_1470.jpg,person
frame_1470.jpg,truck
frame_1470.jpg,truck
frame_1470.jpg,car
frame_1470.jpg,car
frame_1470.jpg,car
frame_1470.jpg,person
frame_1470.jpg,car
frame_150.jpg,person
frame_150.jpg,traffic light
frame_150.jpg,car
frame_150.jpg,person
frame_150.jpg,car
frame_150.jpg,car
frame_150.jpg,motorcycle
frame_150.jpg,person
frame_1500.jpg,car
frame_1500.jpg,car
frame_1500.jpg,traffic light
frame_1500.jpg,person
frame_1500.jpg,person
frame_1500.jpg,car
frame_1500.jpg,person
frame_1500.jpg,motorcycle
frame_1500.jpg,person
frame_1500.jpg,car
frame_1500.jpg,car
frame_1500.jpg,car
frame_1530.jpg,car
frame_1530.jpg,traffic light
frame_1530.jpg,traffic light
frame_1530.jpg,person
frame_1530.jpg,car
frame_1530.jpg,car
frame_1530.jpg,person
frame_1530.jpg,traffic light
frame_1530.jpg,car
frame_1530.jpg,person
frame_1530.jpg,car
frame_1530.jpg,car
frame_1530.jpg,car
frame_1530.jpg,person
frame_1530.jpg,person
frame_1530.jpg,car
frame_1530.jpg,car
frame_1530.jpg,car
frame_1530.jpg,person
frame_1560.jpg,car
frame_1560.jpg,person
frame_1560.jpg,person
frame_1560.jpg,car
frame_1560.jpg,car
frame_1560.jpg,car
frame_1560.jpg,car
frame_1560.jpg,person
frame_1560.jpg,traffic light
frame_1560.jpg,car
frame_1560.jpg,car
frame_1560.jpg,car
frame_1560.jpg,person
frame_1560.jpg,car
frame_1590.jpg,traffic light
frame_1590.jpg,car
frame_1590.jpg,car
frame_1590.jpg,car
frame_1590.jpg,car
frame_1590.jpg,car
frame_1590.jpg,person
frame_1590.jpg,car
frame_1590.jpg,person
frame_1590.jpg,traffic light
frame_1590.jpg,car
frame_1620.jpg,traffic light
frame_1620.jpg,car
frame_1620.jpg,car
frame_1620.jpg,car
frame_1620.jpg,person
frame_1620.jpg,truck
frame_1620.jpg,car
frame_1620.jpg,car
frame_1620.jpg,car
frame_1650.jpg,person
frame_1650.jpg,traffic light
frame_1650.jpg,car
frame_1650.jpg,car
frame_1650.jpg,car
frame_1650.jpg,car
frame_1650.jpg,truck
frame_1650.jpg,person
frame_1650.jpg,person
frame_1650.jpg,motorcycle
frame_1650.jpg,person
frame_1650.jpg,car
frame_1650.jpg,car
frame_1650.jpg,car
frame_1650.jpg,car
frame_1680.jpg,traffic light
frame_1680.jpg,bicycle
frame_1680.jpg,car
frame_1680.jpg,car
frame_1680.jpg,car
frame_1680.jpg,truck
frame_1680.jpg,car
frame_1680.jpg,person
frame_1680.jpg,person
frame_1680.jpg,person
frame_1680.jpg,person
frame_1680.jpg,car
frame_1680.jpg,car
frame_1680.jpg,car
frame_1680.jpg,car
frame_1680.jpg,person
frame_1680.jpg,traffic light
frame_1680.jpg,car
frame_1710.jpg,car
frame_1710.jpg,car
frame_1710.jpg,car
frame_1710.jpg,car
frame_1710.jpg,truck
frame_1710.jpg,traffic light
frame_1710.jpg,person
frame_1710.jpg,car
frame_1710.jpg,person
frame_1740.jpg,car
frame_1740.jpg,traffic light
frame_1740.jpg,car
frame_1740.jpg,person
frame_1740.jpg,car
frame_1740.jpg,car
frame_1740.jpg,car
frame_1740.jpg,person
frame_1740.jpg,traffic light
frame_1740.jpg,car
frame_1740.jpg,person
frame_1740.jpg,truck
frame_1740.jpg,person
frame_1740.jpg,car
frame_1740.jpg,person
frame_1740.jpg,traffic light
frame_1770.jpg,traffic light
frame_1770.jpg,truck
frame_1770.jpg,car
frame_1770.jpg,traffic light
frame_1770.jpg,person
frame_1770.jpg,car
frame_1770.jpg,car
frame_1770.jpg,car
frame_1770.jpg,car
frame_180.jpg,traffic light
frame_180.jpg,car
frame_180.jpg,traffic light
frame_180.jpg,person
frame_180.jpg,person
frame_180.jpg,car
frame_180.jpg,motorcycle
frame_180.jpg,car
frame_180.jpg,car
frame_180.jpg,car
frame_1800.jpg,car
frame_1800.jpg,person
frame_1800.jpg,person
frame_1800.jpg,car
frame_1800.jpg,car
frame_1800.jpg,truck
frame_1800.jpg,traffic light
frame_1800.jpg,car
frame_1830.jpg,car
frame_1830.jpg,traffic light
frame_1830.jpg,car
frame_1830.jpg,truck
frame_1830.jpg,person
frame_1830.jpg,car
frame_1830.jpg,car
frame_1830.jpg,person
frame_1830.jpg,person
frame_1830.jpg,backpack
frame_1830.jpg,car
frame_1830.jpg,traffic light
frame_1860.jpg,car
frame_1860.jpg,car
frame_1860.jpg,car
frame_1860.jpg,car
frame_1860.jpg,motorcycle
frame_1860.jpg,motorcycle
frame_1860.jpg,car
frame_1860.jpg,person
frame_1860.jpg,truck
frame_1860.jpg,car
frame_1860.jpg,person
frame_1860.jpg,person
frame_1860.jpg,car
frame_1860.jpg,car
frame_1860.jpg,car
frame_1890.jpg,person
frame_1890.jpg,car
frame_1890.jpg,car
frame_1890.jpg,car
frame_1890.jpg,person
frame_1890.jpg,person
frame_1890.jpg,car
frame_1890.jpg,truck
frame_1890.jpg,car
frame_1890.jpg,car
frame_1890.jpg,car
frame_1890.jpg,car
frame_1890.jpg,motorcycle
frame_1920.jpg,car
frame_1920.jpg,car
frame_1920.jpg,car
frame_1920.jpg,person
frame_1920.jpg,car
frame_1920.jpg,truck
frame_1920.jpg,person
frame_1920.jpg,car
frame_1920.jpg,car
frame_1950.jpg,car
frame_1950.jpg,car
frame_1950.jpg,truck
frame_1950.jpg,car
frame_1950.jpg,traffic light
frame_1950.jpg,car
frame_1950.jpg,motorcycle
frame_1950.jpg,car
frame_1980.jpg,traffic light
frame_1980.jpg,car
frame_1980.jpg,car
frame_1980.jpg,truck
frame_1980.jpg,car
frame_1980.jpg,traffic light
frame_1980.jpg,car
frame_1980.jpg,car
frame_1980.jpg,person
frame_1980.jpg,car
frame_2010.jpg,person
frame_2010.jpg,car
frame_2010.jpg,car
frame_2010.jpg,car
frame_2010.jpg,car
frame_2010.jpg,person
frame_2010.jpg,car
frame_2010.jpg,car
frame_2010.jpg,car
frame_2010.jpg,suitcase
frame_2010.jpg,person
frame_2040.jpg,traffic light
frame_2040.jpg,car
frame_2040.jpg,traffic light
frame_2040.jpg,car
frame_2040.jpg,person
frame_2040.jpg,person
frame_2040.jpg,car
frame_2040.jpg,truck
frame_2040.jpg,car
frame_2040.jpg,car
frame_2040.jpg,car
frame_2040.jpg,car
frame_2070.jpg,motorcycle
frame_2070.jpg,car
frame_2070.jpg,motorcycle
frame_2070.jpg,car
frame_2070.jpg,car
frame_2070.jpg,traffic light
frame_2070.jpg,car
frame_2070.jpg,person
frame_2070.jpg,car
frame_2070.jpg,traffic light
frame_2070.jpg,traffic light
frame_2070.jpg,person
frame_2070.jpg,car
frame_2070.jpg,car
frame_210.jpg,person
frame_210.jpg,car
frame_210.jpg,traffic light
frame_210.jpg,person
frame_210.jpg,car
frame_210.jpg,motorcycle
frame_210.jpg,car
frame_210.jpg,car
frame_210.jpg,car
